x,y,z,c
0.1,0.99,1.022,0.0
0.189,1.007078,0.99573666,0.00025006253
0.2708078,1.0480453,0.97108704,0.00050012505
0.34853154,1.1107613,0.9480296,0.00075018755
0.42475453,1.1939383,0.9266202,0.0010002501
0.50167286,1.2969943,0.9069816,0.0012503125
0.581205,1.4199426,0.8893021,0.0015003751
0.6650788,1.5633119,0.87384015,0.0017504377
0.7549021,1.7280892,0.860935,0.0020005002
0.85222083,1.9156817,0.8510221,0.0022505627
0.9585669,2.1278942,0.844654,0.002500625
1.0754997,2.3669174,0.8425272,0.0027506878
1.2046413,2.6353266,0.845516,0.0030007502
1.3477099,2.9360876,0.85471517,0.0032508126
1.5065477,3.2725663,0.8714927,0.0035008753
1.6831496,3.6485445,0.89755565,0.0037509378
1.8796891,4.068234,0.9350313,0.0040010004
2.0985436,4.5362887,0.98656726,0.004251063
2.342318,5.0578146,1.0554549,0.0045011253
2.6138678,5.6383634,1.1457795,0.0047511877
2.9163172,6.2839136,1.2626047,0.00500125
3.2530768,7.0008216,1.4121941,0.0052513126
3.6278515,7.7957354,1.6022778,0.0055013755
4.0446396,8.675448,1.842368,0.005751438
4.5077205,9.646675,2.1441288,0.0060015004
5.021616,10.715719,2.5217972,0.006251563
5.5910263,11.8879795,2.9926515,0.0065016253
6.2207217,13.167267,3.5775075,0.0067516877
6.915376,14.55485,4.3012066,0.0070017506
7.6793237,16.048162,5.1930304,0.007251813
8.516208,17.639101,6.2869396,0.0075018755
9.428497,19.31184,7.6214705,0.007751938
10.416831,21.04011,9.239047,0.008002001
11.479159,22.784006,11.184385,0.008252063
12.609644,24.486458,13.501548,0.008502126
13.797325,26.069796,16.229162,0.008752188
15.024572,27.433159,19.393318,0.009002251
16.26543,28.451944,22.997877,0.0092523135
17.484081,28.981041,27.012432,0.0095023755
18.633778,28.863897,31.359169,0.009752438
19.65679,27.94932,35.90136,0.0100025
20.486042,26.116673,40.43793,0.010252563
21.049107,23.307467,44.709858,0.010502625
21.274942,19.557116,48.423607,0.010752688
21.103159,15.016434,51.293076,0.011002751
20.494486,9.950695,53.094204,0.011252813
19.440107,4.7082596,53.7177,0.011502876
17.966923,-0.33837172,53.20052,0.011752938
16.136393,-4.862746,51.721043,0.012003001
14.036479,-8.641839,49.557144,0.012253064
11.768647,-11.581285,47.02261,0.012503126
9.433654,-13.704176,44.405712,0.012753189
7.119871,-15.114793,41.928757,0.013003251
4.8964047,-15.955355,39.734505,0.0132533135
2.8112288,-16.370369,37.893677,0.013503375
0.89306897,-16.4848,36.42297,0.013753438
-0.8447179,-16.395174,35.30447,0.014003501
-2.3997636,-16.169521,34.50151,0.014253563
-3.7767394,-15.851805,33.9695,0.014503626
-4.984246,-15.467834,33.66233,0.014753688
-6.0326047,-15.030931,33.53562,0.015003751
-6.9324374,-14.54668,33.548096,0.015253813
-7.6938615,-14.016595,33.66192,0.015503876
-8.326135,-13.440808,33.842686,0.015753938
-8.837603,-12.819931,34.059315,0.016004002
-9.235835,-12.156234,34.28404,0.016254064
-9.527875,-11.454288,34.492527,0.016504126
-9.720516,-10.721145,34.664078,0.016754188
-9.82058,-9.96615,34.781853,0.017004251
-9.835136,-9.200472,34.83307,0.017254313
-9.771669,-8.436425,34.809067,0.017504375
-9.638145,-7.6867013,34.705204,0.01775444
-9.443001,-6.963577,34.520588,0.018004501
-9.195059,-6.2782016,34.25761,0.018254563
-8.903373,-5.640029,33.92136,0.018504627
-8.577039,-5.056428,33.51894,0.018754689
-8.2249775,-4.5325017,33.058796,0.019004751
-7.85573,-4.071092,32.550026,0.019254813
-7.477266,-3.6729436,32.00184,0.019504877
-7.0968337,-3.336986,31.423092,0.019754939
-6.720849,-3.0606852,30.821962,0.020005
-6.3548326,-2.8404183,30.205748,0.020255065
-6.0033913,-2.6718426,29.580765,0.020505127
-5.6702366,-2.5502248,28.952345,0.020755189
-5.3582354,-2.4707222,28.324886,0.02100525
-5.0694838,-2.4286067,27.701944,0.021255314
-4.805396,-2.4194307,27.086344,0.021505376
-4.5667996,-2.4391413,26.480303,0.021755438
-4.354034,-2.4841514,25.885553,0.022005502
-4.1670456,-2.5513735,25.303432,0.022255564
-4.0054784,-2.638227,24.734991,0.022505626
-3.8687532,-2.742624,24.181065,0.022755688
-3.7561402,-2.862943,23.642342,0.023005752
-3.6668205,-2.9979932,23.119415,0.023255814
-3.599938,-3.1469755,22.61283,0.023505876
-3.5546417,-3.3094406,22.12311,0.02375594
-3.5301216,-3.4852486,21.650799,0.024006002
-3.5256343,-3.6745307,21.196478,0.024256064
-3.5405238,-3.8776526,20.760788,0.024506127
-3.5742369,-4.0951824,20.344456,0.02475619
-3.6263313,-4.3278575,19.948309,0.025006251
-3.6964839,-4.57656,19.573298,0.025256313
-3.7844915,-4.842286,19.220514,0.025506377
-3.890271,-5.126122,18.891222,0.02575644
-4.013856,-5.4292173,18.586878,0.026006501
-4.155392,-5.752754,18.309149,0.026256565
-4.3151283,-6.0979195,18.059954,0.026506627
-4.4934077,-6.465866,17.841488,0.026756689
-4.6906533,-6.857671,17.656252,0.02700675
-4.9073553,-7.2742834,17.507088,0.027256815
-5.144048,-7.716465,17.397207,0.027506877
-5.4012895,-8.184713,17.330221,0.027756939
-5.679632,-8.679172,17.310162,0.028007003
-5.979586,-9.199523,17.341503,0.028257065
-6.30158,-9.744863,17.429155,0.028507126
-6.645908,-10.313543,17.578459,0.028757188
-7.0126715,-10.903014,17.795128,0.029007252
-7.4017057,-11.509619,18.085184,0.029257314
-7.812497,-12.128387,18.45482,0.029507376
-8.244086,-12.752821,18.910223,0.02975744
-8.69496,-13.374661,19.457302,0.030007502
-9.16293,-13.983699,20.101362,0.030257564
-9.645007,-14.567609,20.846643,0.030507626
-10.137267,-15.111875,21.69578,0.03075769
-10.6347275,-15.599832,22.649157,0.031007752
-11.131238,-16.01288,23.704178,0.031257816
-11.619402,-16.33093,24.8545,0.031507876
-12.090555,-16.53311,26.08927,0.03175794
-12.53481,-16.598795,27.3925,0.032008003
-12.941209,-16.508957,28.74266,0.032258064
-13.297984,-16.247759,30.112648,0.032508127
-13.592961,-15.804341,31.470268,0.03275819
-13.814099,-15.174585,32.77934,0.03300825
-13.950148,-14.362617,34.001457,0.033258315
-13.991395,-13.381779,35.09836,0.033508375
-13.930433,-12.254802,36.0347,0.03375844
-13.76287,-11.012985,36.78092,0.034008503
-13.487882,-9.694349,37.3158,0.034258563
-13.108528,-8.340902,37.628273,0.034508627
-12.631765,-6.995368,37.71822,0.03475869
-12.068126,-5.6978316,37.59604,0.03500875
-11.431096,-4.482791,37.2811,0.035258815
-10.736266,-3.3770316,36.79937,0.03550888
-10.000342,-2.3985374,36.180622,0.03575894
-9.240162,-1.5564619,35.455666,0.036009002
-8.471792,-0.8519817,34.654003,0.036259066
-7.7098107,-0.2797487,33.802074,0.036509126
-6.9668045,0.17037763,32.922253,0.03675919
-6.2530866,0.5115976,32.032455,0.037009254
-5.576618,0.7586345,31.146267,0.037259314
-4.943093,0.9265034,30.273394,0.037509378
-4.356133,1.0296143,29.420305,0.03775944
-3.8175585,1.0811886,28.590912,0.038009502
-3.3276837,1.0929351,27.787212,0.038259566
-2.8856218,1.0749248,27.009851,0.038509626
-2.4895673,1.0356036,26.25857,0.03875969
-2.1370502,0.9818935,25.532558,0.039009754
-1.8251557,0.9193441,24.830708,0.039259814
-1.5507058,0.8523061,24.151775,0.039509878
-1.3104045,0.78410846,23.49451,0.03975994
-1.1009532,0.7172272,22.857716,0.04001
-0.9191352,0.65344083,22.24028,0.040260065
-0.7618776,0.5939668,21.641201,0.04051013
-0.6262932,0.5395809,21.059576,0.04076019
-0.5097058,0.49071765,20.494608,0.041010253
-0.40966344,0.44755507,19.945585,0.041260313
-0.3239416,0.41008353,19.41187,0.041510377
-0.25053906,0.37816215,18.89289,0.04176044
-0.18766895,0.35156366,18.388132,0.0420105
-0.13374569,0.33000955,17.897123,0.042260565
-0.087370165,0.31319728,17.419424,0.04251063
-0.047313422,0.30082104,16.954634,0.04276069
-0.012499976,0.2925869,16.502367,0.043010753
0.01800871,0.28822383,16.062267,0.043260816
0.04503022,0.2874914,15.633992,0.043510877
0.06927634,0.29018494,15.217216,0.04376094
0.0913672,0.29613853,14.811624,0.044011004
0.11184433,0.305227,14.416918,0.044261064
0.1311826,0.31736663,14.032808,0.04451113
0.149801,0.3325155,13.659017,0.044761192
0.16807245,0.3506733,13.295274,0.045011252
0.18633254,0.37188113,12.941322,0.045261316
0.20488739,0.39622155,12.596913,0.045511376
0.22402081,0.42381832,12.261807,0.04576144
0.24400057,0.45483696,11.935776,0.046011504
0.2650842,0.48948538,11.618598,0.046261564
0.2875243,0.528015,11.310066,0.046511628
0.3115734,0.5707225,11.009983,0.04676169
0.3374883,0.61795163,10.718162,0.04701175
0.36553463,0.67009634,10.434429,0.047261816
0.39599082,0.7276036,10.1586275,0.04751188
0.42915207,0.7909778,9.890612,0.04776194
0.46533465,0.8607848,9.630257,0.048012003
0.50487965,0.9376577,9.377456,0.048262067
0.54815745,1.0223026,9.132124,0.048512127
0.595572,1.1155052,8.894204,0.04876219
0.6475653,1.2181389,8.66367,0.049012255
0.7046227,1.331173,8.440526,0.049262315
0.7672777,1.4556817,8.224826,0.04951238
0.8361181,1.5928553,8.016665,0.04976244
0.91179186,1.7440112,7.8162065,0.050012503
0.9950138,1.9106052,7.623676,0.050262567
1.0865729,2.0942464,7.4393888,0.050512627
1.1873403,2.29671,7.2637606,0.05076269
1.2982773,2.5199525,7.09733,0.051012754
1.4204447,2.7661276,6.9407835,0.051262815
1.5550131,3.037601,6.7949877,0.05151288
1.7032719,3.3369656,6.6610227,0.051762942
1.8666412,3.6670568,6.540233,0.052013002
2.0466828,4.030963,6.434278,0.052263066
2.2451108,4.4320354,6.345198,0.05251313
2.4638033,4.8738894,6.275497,0.05276319
2.7048118,5.3603992,6.2282333,0.053013254
2.9703705,5.8956804,6.2071357,0.053263314
3.2629015,6.4840527,6.216736,0.053513378
3.5850167,7.1299787,6.2625246,0.05376344
3.939513,7.8379707,6.351135,0.0540135
4.3293586,8.612452,6.490549,0.054263566
4.757668,9.457548,6.6903315,0.05451363
5.227656,10.376816,6.9618816,0.05476369
5.742572,11.372848,7.3186955,0.055013753
6.3055997,12.446758,7.776624,0.055263817
6.9197154,13.597496,8.354091,0.055513877
7.5874934,14.820962,9.072223,0.05576394
8.310841,16.108896,9.954836,0.056014005
9.090646,17.447512,11.028158,0.056264065
9.926332,18.815887,12.320166,0.05651413
10.815288,20.18416,13.859356,0.056764193
11.752175,21.511671,15.672748,0.057014253
12.728125,22.745274,17.782896,0.057264317
13.729839,23.818266,20.203733,0.057514377
14.738682,24.6505,22.935177,0.05776444
15.729864,25.150482,25.95673,0.058014505
16.671926,25.22038,29.220688,0.058264565
17.526772,24.764666,32.64619,0.05851463
18.25056,23.70269,36.116074,0.058764692
18.795774,21.984434,39.47885,0.059014753
19.11464,19.607052,42.558228,0.059264816
19.163881,16.628227,45.171158,0.05951488
18.910316,13.171286,47.15321,0.05976494
18.336412,9.417641,48.38652,0.060015004
17.444536,5.5853076,48.82307,0.060265068
16.258612,1.8969665,48.495453,0.060515128
14.822448,-1.4542795,47.510662,0.060765192
13.194776,-4.3316946,46.028152,0.061015252
11.442128,-6.6671515,44.229176,0.061265316
9.6312,-8.457443,42.28687,0.06151538
7.8223357,-9.748865,40.344666,0.06176544
6.0652156,-10.617018,38.506218,0.062015504
4.396992,-11.148072,36.83544,0.062265567
2.842486,-11.425086,35.362984,0.06251563
1.4157288,-11.520126,34.09521,0.06276569
0.12214323,-11.491217,33.022915,0.06301575
-1.0391928,-11.38244,32.128265,0.063265815
-2.0735176,-11.225715,31.389797,0.06351588
-2.988737,-11.04317,30.785503,0.06376594
-3.7941804,-10.849486,30.29461,0.06401601
-4.499711,-10.65393,29.898401,0.06426606
-5.115133,-10.461968,29.580507,0.06451613
-5.6498165,-10.276504,29.326838,0.06476619
-6.112485,-10.098775,29.125391,0.065016255
-6.511114,-9.928997,28.966,0.06526632
-6.8529024,-9.76681,28.840061,0.06551638
-7.1442933,-9.611573,28.740303,0.06576644
-7.3910213,-9.462568,28.660574,0.0660165
-7.598176,-9.319119,28.595673,0.06626657
-7.7702703,-9.180668,28.541204,0.06651663
-7.91131,-9.046808,28.49347,0.066766694
-8.024859,-8.9173,28.449364,0.06701675
-8.114104,-8.792067,28.406315,0.067266814
-8.1819,-8.671177,28.362211,0.06751688
-8.230827,-8.55483,28.315351,0.06776694
-8.263227,-8.443325,28.26441,0.068017006
-8.281238,-8.337043,28.208384,0.06826707
-8.2868185,-8.236416,28.14657,0.068517126
-8.281778,-8.141906,28.078531,0.06876719
-8.267791,-8.053983,28.004065,0.069017254
-8.246409,-7.973107,27.923176,0.06926732
-8.21908,-7.899711,27.836054,0.06951738
-8.187142,-7.834189,27.743042,0.069767445
-8.151847,-7.7768846,27.644625,0.0700175
-8.114351,-7.7280855,27.541393,0.070267566
-8.075725,-7.6880174,27.43404,0.07051763
-8.036954,-7.6568427,27.32333,0.07076769
-7.998943,-7.634658,27.210085,0.07101776
-7.962514,-7.621496,27.095173,0.07126781
-7.9284124,-7.617328,26.979498,0.07151788
-7.897304,-7.6220646,26.863977,0.07176794
-7.86978,-7.635559,26.749542,0.072018005
-7.846358,-7.6576114,26.637123,0.07226807
-7.827483,-7.6879716,26.527643,0.07251813
-7.813532,-7.7263403,26.422014,0.07276819
-7.804813,-7.772373,26.321127,0.07301825
-7.801569,-7.825682,26.225851,0.07326832
-7.8039804,-7.885837,26.13702,0.07351838
-7.8121657,-7.9523654,26.055443,0.073768444
-7.8261857,-8.024754,25.981882,0.07401851
-7.8460426,-8.1024475,25.917065,0.074268565
-7.871683,-8.184852,25.861664,0.07451863
-7.903,-8.271326,25.816305,0.07476869
-7.9398327,-8.36119,25.781553,0.075018756
-7.9819684,-8.453719,25.75791,0.07526882
-8.029143,-8.548144,25.745806,0.07551888
-8.081043,-8.643656,25.745594,0.07576894
-8.137304,-8.739399,25.757542,0.076019004
-8.197515,-8.83448,25.781826,0.07626907
-8.26121,-8.927971,25.818518,0.07651913
-8.327887,-9.018908,25.867582,0.076769195
-8.396989,-9.106304,25.928865,0.07701925
-8.46792,-9.189155,26.002083,0.077269316
-8.540044,-9.266444,26.086824,0.07751938
-8.612684,-9.337166,26.182535,0.07776944
-8.685132,-9.400327,26.288515,0.07801951
-8.756652,-9.454968,26.40392,0.07826957
-8.826484,-9.500182,26.527752,0.07851963
-8.893853,-9.535128,26.658878,0.07876969
-8.957981,-9.559054,26.796015,0.079019755
-9.018088,-9.571317,26.937752,0.07926982
-9.073411,-9.571398,27.082561,0.07951988
-9.12321,-9.558927,27.228813,0.07976994
